Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
30,59,5,18,19,9,2,6,319,Moderate
28,76,2,12,31,10,2,6,611,Moderate
23,75,27,34,24,13,2,5,619,Moderate
27,39,6,6,14,5,1,11,551,Good
26,71,7,16,22,6,1,13,303,Good
39,97,15,36,43,18,2,3,674,Hazardous
42,82,2,16,31,13,2,5,735,Poor
31,60,5,17,24,14,1,6,443,Moderate
29,94,10,23,45,12,2,5,486,Poor
33,80,11,24,32,15,2,5,535,Poor
26,66,1,6,18,6,1,13,529,Good
32,51,2,10,22,19,2,6,519,Moderate
20,53,4,13,26,7,1,10,538,Good
29,54,29,34,23,4,1,11,508,Good
22,80,4,12,17,6,1,10,232,Good
32,79,22,30,28,12,1,8,444,Moderate
23,75,4,10,18,4,1,14,359,Good
38,81,28,57,47,14,2,4,560,Poor
35,59,9,16,28,7,2,6,437,Moderate
38,97,1,25,37,12,1,8,803,Poor
28,44,4,14,31,9,1,8,338,Moderate
28,78,4,11,9,2,1,14,520,Good
26,58,0,0,25,4,1,10,536,Good
25,48,8,15,23,5,1,11,461,Good
26,50,0,2,23,2,1,18,581,Good
23,62,16,21,18,5,1,12,324,Good
30,69,2,4,15,5,1,10,297,Good
38,72,10,17,32,6,2,4,637,Poor
30,66,3,9,21,3,1,10,452,Good
52,84,68,91,32,35,2,3,785,Hazardous
45,98,35,57,28,23,2,4,562,Hazardous
23,45,24,29,27,5,1,11,575,Good
35,100,20,33,34,12,2,5,440,Poor
30,86,84,94,27,20,2,10,744,Poor
22,80,7,17,14,6,1,11,455,Good
28,86,83,94,25,7,2,7,594,Moderate
28,79,30,34,15,3,1,11,472,Good
28,72,18,25,25,6,1,13,480,Good
22,50,2,8,24,4,1,10,547,Good
33,70,55,73,40,31,2,5,612,Hazardous
38,84,3,2,40,29,3,2,898,Hazardous
31,94,48,67,31,23,2,4,779,Poor
39,79,69,85,44,13,2,8,570,Poor
25,65,17,37,27,15,1,6,453,Poor
28,63,9,13,30,16,1,8,604,Moderate
17,56,3,7,21,4,1,12,475,Good
18,70,3,8,20,6,1,13,273,Good
26,78,1,5,21,6,1,11,524,Good
22,69,2,8,20,3,1,10,339,Good
25,47,71,85,22,8,2,13,587,Moderate
42,90,12,35,41,30,3,3,861,Hazardous
28,45,3,10,14,4,1,11,236,Good
33,65,4,19,28,14,1,6,509,Moderate
46,100,144,170,42,16,2,7,443,Hazardous
34,81,23,56,34,27,2,4,600,Hazardous
48,94,4,19,24,6,2,6,625,Poor
32,77,21,27,30,17,1,8,663,Moderate
29,84,32,44,27,-3,1,6,538,Moderate
25,82,20,28,26,2,2,8,458,Moderate
28,99,18,30,38,10,2,5,588,Poor
21,48,16,20,11,2,1,10,432,Good
28,72,75,90,31,5,2,5,765,Poor
32,70,96,110,36,20,2,7,673,Poor
22,60,15,21,21,2,1,11,587,Good
30,63,13,16,22,4,1,11,377,Good
18,74,3,9,16,8,1,11,217,Good
33,50,1,23,23,26,2,7,730,Poor
59,66,44,54,44,23,3,5,641,Hazardous
28,52,36,40,26,5,1,11,264,Good
32,75,43,46,29,10,1,8,598,Moderate
25,64,9,11,16,5,1,10,490,Good
26,69,16,25,28,11,1,10,482,Moderate
35,69,8,30,35,28,2,5,724,Hazardous
27,63,7,9,13,5,1,10,358,Good
20,45,5,9,20,6,1,10,545,Good
25,84,5,19,22,9,1,7,623,Moderate
26,63,26,36,31,19,1,5,411,Moderate
22,54,11,15,14,9,1,10,265,Good
34,98,54,77,32,16,2,7,513,Poor
25,64,6,14,17,4,1,16,390,Good
28,55,12,21,28,4,1,11,467,Good
27,54,3,6,11,7,1,12,533,Good
30,101,29,43,40,4,2,7,639,Poor
41,65,34,53,43,9,2,2,721,Hazardous
26,73,14,21,26,4,1,11,194,Good
28,50,17,22,20,11,1,11,214,Good
37,76,32,41,32,9,2,4,543,Poor
19,78,11,16,20,6,1,11,409,Good
26,78,23,30,15,4,1,10,399,Good
35,97,11,30,36,20,2,7,680,Poor
23,51,1,5,25,2,1,12,593,Good
22,79,19,26,26,6,1,11,214,Good
21,77,2,7,23,3,1,15,338,Good
45,76,7,28,26,24,2,4,643,Poor
22,73,12,15,27,4,1,13,266,Good
32,82,9,19,30,15,2,6,600,Poor
34,71,8,16,22,16,2,5,527,Moderate
33,52,7,16,39,12,1,7,452,Moderate
26,48,16,20,19,8,1,10,503,Good
30,78,2,23,44,20,2,6,681,Poor
29,68,2,5,12,4,1,11,576,Good
24,74,26,28,22,3,1,6,562,Moderate
24,40,21,23,20,6,1,12,318,Good
22,70,5,10,14,1,1,12,224,Good
45,106,24,47,40,27,2,4,878,Hazardous
27,46,6,13,24,5,1,11,205,Good
50,88,82,87,40,18,2,3,631,Hazardous
33,78,102,110,19,9,1,5,334,Moderate
24,52,0,8,24,7,1,20,450,Good
22,76,19,21,20,5,1,11,316,Good
35,52,48,53,21,10,2,7,628,Moderate
42,68,3,15,24,6,1,5,748,Poor
21,60,5,9,15,7,1,10,378,Good
31,74,20,31,32,12,2,7,512,Moderate
47,92,240,262,40,38,2,3,879,Hazardous
24,67,14,17,22,8,1,10,413,Good
25,45,0,6,21,2,1,10,226,Good
24,59,14,33,31,17,2,5,622,Poor
41,82,74,90,35,13,3,4,620,Hazardous
22,73,0,6,15,6,1,14,543,Good
27,58,50,60,26,9,2,6,541,Moderate
25,51,4,8,22,6,1,13,454,Good
32,71,8,11,24,6,2,8,382,Moderate
30,77,28,44,26,23,2,8,586,Poor
32,68,33,40,29,10,2,6,410,Moderate
33,57,2,5,36,8,2,8,481,Moderate
30,87,7,22,28,6,1,6,690,Moderate
22,75,1,5,24,7,1,11,291,Good
27,82,19,30,23,13,2,5,341,Moderate
28,41,2,7,25,4,1,12,590,Good
31,69,2,12,24,13,1,7,638,Moderate
28,79,1,20,28,10,2,6,449,Moderate
33,83,1,6,30,6,1,6,310,Moderate
23,67,8,16,22,8,1,10,435,Good
30,79,9,19,31,11,2,7,714,Moderate
28,84,21,37,21,11,2,6,442,Moderate
33,86,12,32,42,12,2,3,927,Hazardous
23,40,4,7,13,1,1,13,246,Good
23,60,13,25,23,14,1,6,598,Moderate
36,77,35,44,20,14,1,6,599,Moderate
28,76,20,26,27,5,1,11,334,Good
33,60,2,13,28,6,1,12,406,Moderate
22,72,1,6,24,5,1,14,384,Good
31,82,4,18,22,13,1,5,437,Moderate
27,63,11,21,23,10,1,7,333,Moderate
24,64,1,7,12,9,1,11,239,Good
47,88,105,127,45,22,3,8,648,Hazardous
40,89,29,46,45,21,2,3,821,Hazardous
29,72,26,32,13,6,1,11,358,Good
20,42,4,8,23,9,1,10,370,Good
43,95,18,30,44,4,2,3,525,Hazardous
34,73,139,160,33,23,2,6,576,Poor
29,64,9,22,27,8,2,5,647,Moderate
31,54,6,21,26,13,2,7,437,Moderate
37,91,34,44,36,20,2,3,754,Hazardous
33,70,8,15,24,9,1,6,417,Moderate
34,89,30,47,26,8,1,6,613,Moderate
23,45,23,28,16,9,1,10,437,Good
29,80,9,20,31,10,2,8,562,Moderate
34,97,10,24,27,16,2,5,686,Poor
25,43,10,18,25,7,1,11,517,Good
30,80,21,25,31,6,2,6,609,Moderate
36,75,64,76,44,17,3,4,679,Poor
32,64,58,74,14,10,1,6,489,Moderate
35,80,44,55,28,11,2,7,664,Moderate
37,99,68,85,38,17,2,9,695,Poor
29,78,15,19,29,0,1,8,451,Moderate
15,64,6,10,15,4,1,13,549,Good
31,57,22,27,36,8,2,8,713,Moderate
30,83,5,23,36,15,3,5,631,Poor
22,62,27,31,24,8,1,11,340,Good
30,88,3,16,36,14,1,7,399,Moderate
28,65,4,5,19,8,1,11,458,Good
31,47,1,8,22,4,1,11,233,Good
23,83,28,43,43,10,2,4,818,Poor
26,56,21,29,23,10,1,6,612,Moderate
36,87,2,18,51,32,3,5,937,Hazardous
31,79,8,14,38,18,2,5,549,Poor
34,86,28,51,34,42,2,3,685,Hazardous
23,58,18,26,11,3,1,10,500,Good
30,90,117,139,41,34,2,6,574,Hazardous
24,53,5,11,35,16,1,6,728,Moderate
32,74,39,55,40,7,2,4,493,Poor
14,54,4,8,17,7,1,10,238,Good
28,52,49,54,29,5,2,6,364,Moderate
22,73,4,10,22,5,1,12,391,Good
31,102,33,53,29,18,2,8,488,Poor
29,77,17,35,28,6,1,5,405,Moderate
31,56,11,17,13,5,1,10,572,Good
28,55,3,15,23,22,2,5,405,Moderate
38,69,6,24,42,16,1,6,806,Poor
42,91,80,94,30,13,2,10,561,Poor
33,99,18,47,41,26,2,7,623,Hazardous
28,90,45,54,29,12,1,7,544,Moderate
34,81,20,30,30,11,1,6,714,Moderate
32,53,46,53,27,11,1,8,513,Moderate
24,65,8,14,15,5,1,11,368,Good
29,74,20,32,29,8,1,12,629,Moderate
36,85,42,72,31,23,2,4,619,Hazardous
27,50,17,30,19,10,2,6,490,Moderate
26,48,16,20,24,10,1,12,506,Good
24,94,22,32,22,12,2,8,585,Moderate
29,65,12,18,14,6,1,11,600,Good
25,64,11,15,14,4,1,10,354,Good
38,99,8,27,25,14,3,4,808,Poor
26,64,2,10,24,0,1,12,386,Good
23,65,3,11,11,5,1,12,500,Good
32,75,25,36,26,6,2,6,516,Moderate
25,60,6,11,26,1,1,11,231,Good
33,50,24,28,22,9,2,5,518,Moderate
28,80,28,29,34,12,2,6,631,Moderate
26,48,5,10,18,5,1,10,547,Good
28,90,35,58,41,8,2,5,662,Poor
38,79,63,85,53,20,3,6,778,Hazardous
32,103,80,97,35,2,2,4,630,Poor
30,64,12,22,31,16,2,5,389,Moderate
26,38,4,9,19,7,1,18,379,Good
37,78,6,26,46,18,2,4,470,Poor
30,60,11,20,25,12,2,6,472,Moderate
34,96,71,87,33,17,2,5,557,Hazardous
26,62,79,86,31,8,1,6,615,Moderate
28,62,0,4,25,4,1,11,536,Good
31,60,1,4,21,5,1,11,470,Good
24,52,19,22,24,7,1,11,371,Good
43,76,6,14,39,11,2,9,644,Poor
29,61,12,18,18,5,2,9,502,Moderate
28,48,11,18,15,8,1,16,334,Good
34,86,9,22,39,8,2,5,450,Moderate
20,53,12,17,24,2,1,10,430,Good
31,92,11,19,38,10,3,5,429,Poor
23,55,10,13,11,4,1,11,362,Good
29,77,124,136,32,10,2,5,566,Poor
36,80,103,106,26,22,2,4,844,Hazardous
30,76,1,20,30,4,2,6,402,Moderate
24,56,8,11,17,7,1,15,497,Good
32,55,4,14,28,20,2,5,701,Moderate
32,98,86,102,45,26,2,7,804,Poor
23,43,7,11,24,5,1,13,292,Good
27,100,4,18,31,16,2,4,457,Poor
31,100,7,26,30,20,2,4,770,Poor
30,83,4,14,22,3,1,12,225,Good
25,83,34,44,36,9,1,6,488,Moderate
26,60,6,13,22,5,1,11,412,Good
24,61,28,40,37,11,2,7,559,Moderate
24,62,3,10,19,5,1,14,438,Good
32,71,12,31,26,24,2,5,730,Poor
39,72,5,31,50,16,3,6,503,Hazardous
32,83,2,18,31,15,2,5,355,Moderate
27,71,6,13,24,6,1,11,389,Good
51,80,22,52,38,9,3,8,611,Hazardous
35,89,9,16,33,8,1,6,447,Moderate
34,56,0,9,31,6,1,6,351,Moderate
26,55,17,22,21,7,1,12,210,Good
28,68,7,9,21,5,1,10,379,Good
23,42,2,6,21,4,1,11,493,Good
26,53,2,4,14,6,1,11,492,Good
22,42,0,7,17,3,1,11,212,Good
34,76,2,18,29,10,1,6,633,Moderate
47,78,18,46,43,21,2,3,517,Hazardous
36,60,3,14,22,14,2,8,661,Moderate
30,73,9,25,21,10,2,8,404,Moderate
32,47,1,7,12,6,1,16,451,Good
22,73,2,8,19,8,1,13,207,Good
40,66,22,41,28,3,2,6,745,Poor
39,82,24,50,28,12,2,8,818,Poor
27,44,18,23,22,3,1,12,253,Good
40,96,47,65,36,17,2,5,661,Poor
40,92,22,34,44,17,2,3,900,Hazardous
26,77,21,25,24,12,1,7,576,Moderate
47,93,73,97,34,15,3,6,797,Hazardous
30,74,1,6,22,4,1,12,583,Good
