serial,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
21798966,1402595380,2,3,66,258,4687,1186,1066888,0,1,0,1404604800,1404950400,2,0,1,8260,1,0,1,2,50,701,37
25930212,1389739400,37,1,69,811,16287,-1,310826,0,1,9,1395446400,1395792000,2,0,1,8808,1,0,2,6,169,28,62
26368036,1405076301,11,3,205,354,40193,1840,406579,0,0,2,1407110400,1407196800,2,0,1,11813,1,0,2,2,198,377,83
12766494,1379394371,2,3,66,363,12346,4050,722774,0,0,9,1389052800,1389484800,2,0,1,8739,1,0,1,6,144,4,68
25043252,1404928509,2,3,23,48,4924,-1,985782,0,0,9,1406246400,1406332800,1,0,1,24979,6,1,1,6,11,9,2
17212996,1408921792,24,2,3,64,3169,-1,21843,0,0,1,1412380800,1412553600,1,0,1,8745,1,0,1,6,204,27,86
26735650,1402161362,37,1,69,813,34323,-1,273588,0,0,9,1405036800,1405468800,2,0,1,18483,6,0,1,6,70,311,48
34936839,1395081773,2,3,66,337,47991,1553,631450,0,1,9,1399420800,1399680000,2,0,1,8791,1,0,2,4,8,110,52
513761,1413454955,2,3,66,174,25951,1193,575909,0,0,9,1413504000,1413676800,2,0,1,8218,1,1,1,2,50,743,91
3063274,1396853887,2,3,80,38,52486,-1,732941,0,0,0,1406678400,1408147200,2,2,1,19992,6,0,1,6,77,21,62
29613682,1408669854,2,3,66,174,41886,6089,825959,0,0,2,1410393600,1410480000,3,0,1,8164,3,0,1,6,107,36,16
25145114,1415447267,9,1,32,971,32445,-1,138953,0,0,5,1418601600,1418860800,2,0,1,8224,1,0,1,6,135,278,64
35732364,1410490971,2,3,202,269,25293,-1,26658,0,0,1,1418688000,1418947200,3,1,1,13094,3,0,1,2,50,212,0
30815151,1412767521,2,3,66,337,54987,-1,282979,0,0,2,1435622400,1435708800,3,0,1,22862,1,0,1,4,93,2088,85
6790713,1412683716,11,3,205,135,27607,2579,780997,0,0,5,1420156800,1420243200,2,0,1,8260,1,0,1,2,50,701,83
31069648,1412720238,2,3,66,174,9890,6344,984014,1,0,9,1414627200,1414800000,2,0,1,8746,1,0,1,6,105,29,59
3921385,1419784694,23,1,11,38,27588,-1,535662,0,1,0,1420416000,1420848000,2,0,1,8253,1,0,1,6,70,19,70
7702755,1392132255,27,2,167,47,3824,-1,956789,0,1,9,1393200000,1393372800,2,0,1,11815,1,0,1,3,5,44,12
581544,1396919518,34,3,205,155,14703,2115,790935,0,0,9,1406419200,1406505600,2,0,1,14875,1,0,1,2,198,385,34
27592640,1402306282,2,3,66,254,23820,947,308304,0,1,9,1416441600,1416700800,1,0,1,8277,1,0,1,2,50,412,23
22697859,1404229256,2,3,48,424,5957,-1,688301,0,0,9,1405728000,1407196800,2,0,1,8220,1,0,1,3,182,46,58
12109566,1417259980,2,3,66,318,18729,67,860798,1,0,1,1417305600,1417392000,1,0,1,27082,6,1,1,2,50,641,7
12029708,1377941098,2,3,66,293,38090,12,570155,0,0,0,-9223372037,-9223372037,2,0,1,12014,1,0,1,2,50,1058,59
22505583,1393675298,24,2,3,50,5224,-1,1168465,0,0,1,1394150400,1394323200,2,1,1,8282,1,0,1,3,126,232,61
18118402,1405014426,23,1,1,318,2096,200,1162477,0,0,1,1408838400,1409097600,1,0,1,20893,1,0,1,6,204,1784,58
34386539,1392103316,2,3,66,314,31381,4304,1114896,0,0,9,1393113600,1393200000,2,0,1,59929,6,1,1,6,105,1869,81
16805668,1413308965,25,2,23,48,4924,-1,188180,0,0,5,1414972800,1415750400,1,0,1,8747,1,0,1,3,106,107,16
10015492,1358720525,2,3,66,220,1437,1352,124363,0,1,9,1360713600,1360972800,1,0,1,20460,1,0,1,4,13,1531,5
30336034,1405069193,2,3,66,442,40322,251,267144,0,0,9,1405209600,1405296000,1,0,1,1399,3,0,2,4,8,138,47
24787313,1361351095,34,3,205,155,40095,1181,110263,0,0,9,1367539200,1367625600,2,0,1,1827,3,0,6,2,198,388,43
5032299,1415291598,17,1,133,20,3392,-1,1004734,0,0,5,1448582400,1448841600,2,2,1,14384,6,0,1,6,204,158,6
24107189,1389122819,34,3,205,354,22772,1131,48614,1,0,9,1391558400,1391817600,2,0,1,11353,1,0,2,2,50,699,31
31970986,1390892242,2,3,166,0,17653,-1,961447,0,1,9,1392336000,1392940800,2,0,1,12217,6,0,1,2,50,365,23
12408265,1395077962,24,2,3,74,38960,-1,707808,0,0,5,1399161600,1399334400,2,0,1,8282,1,0,1,3,126,232,64
6864676,1404922697,2,3,66,174,26265,40,1013825,0,0,1,1405036800,1405209600,2,0,1,12176,6,0,1,2,50,366,84
18308521,1364978825,2,3,66,348,52091,1185,430152,0,0,9,1383091200,1383436800,2,0,1,17910,4,0,5,2,50,411,95
2122266,1411938931,2,3,215,817,13087,-1,579907,0,0,2,1411948800,1412035200,2,0,1,8259,1,0,1,4,8,121,59
1645336,1376486551,2,3,66,174,22602,112,404597,0,0,0,1385251200,1385596800,2,2,1,24374,6,0,2,2,50,627,14
11609291,1365551021,24,2,3,65,28685,-1,208807,0,0,9,1367539200,1367625600,2,0,1,8241,1,0,3,3,162,1490,85
21977559,1402953882,23,1,1,184,28154,639,465250,0,0,0,1403654400,1404518400,2,0,1,1323,3,0,1,6,105,918,35
31480060,1397116327,2,3,66,448,18816,220,884314,0,1,9,1405814400,1406160000,1,1,1,12233,6,0,4,2,50,675,72
5494934,1418901000,11,3,205,354,38483,-1,998238,1,1,0,1420416000,1420502400,2,0,1,8260,1,0,2,2,50,701,23
22094465,1397063884,2,3,66,220,13647,606,888792,0,0,9,1404172800,1404259200,2,1,1,8274,1,0,1,2,50,684,41
16402010,1406914965,2,3,66,348,50844,-1,355569,1,1,1,1424995200,1425427200,2,0,1,1152,1,0,1,4,47,1502,3
546856,1381844452,11,3,205,385,38184,334,662010,0,1,9,1383782400,1384041600,2,0,1,7635,3,0,1,2,50,675,3
29102614,1410781572,2,3,66,174,36016,-1,732767,0,0,9,1413504000,1413676800,2,0,1,12268,6,0,1,2,50,1230,23
14487655,1401920182,2,3,66,442,35390,893,1179032,0,0,9,1408320000,1408838400,1,0,1,263,1,0,1,2,50,455,42
17158336,1404384448,2,3,215,1017,49216,5078,1082881,0,0,9,1405468800,1405814400,2,0,1,8253,1,0,1,6,70,19,69
31895121,1418037666,2,3,66,174,39877,106,751994,0,0,7,1420070400,1420156800,2,0,1,24592,6,0,1,2,50,367,33
20382703,1412779857,34,3,205,343,37594,5376,127484,0,0,1,1423008000,1423267200,2,0,1,10427,3,0,2,2,50,636,0
891288,1419745931,2,3,66,348,48862,5356,548192,0,0,9,1423008000,1423180800,2,0,1,61401,6,0,1,4,137,2092,85
14782880,1414818287,2,3,66,337,18626,1555,848574,0,1,1,1419638400,1420243200,2,2,1,5405,6,0,1,4,8,126,65
15012880,1394821413,8,4,77,871,36643,455,273837,0,0,5,1420329600,1420416000,2,0,1,8184,6,0,1,0,63,1258,97
10792029,1410121808,2,3,215,646,51733,179,712799,0,0,9,1414800000,1414886400,3,1,2,22117,6,0,1,4,8,116,40
19942014,1393806910,37,1,69,556,21984,-1,35134,0,1,0,1396742400,1397088000,2,2,1,55649,3,0,3,6,77,2,25
17848031,1417958677,2,3,80,39,16563,-1,454988,0,0,9,1423008000,1423353600,2,0,1,7635,3,0,1,2,50,675,98
29488909,1392923412,2,3,66,220,15627,-1,496116,0,0,9,1403827200,1404172800,2,0,1,8864,1,0,1,4,47,1508,10
15978987,1388064349,13,1,46,172,46609,316,456376,0,0,9,1388448000,1388534400,2,0,1,18046,1,0,1,6,105,1808,5
11044315,1389620279,34,3,205,411,54864,1184,453850,0,0,9,1406419200,1407024000,1,0,1,12206,6,0,1,2,50,628,79
23634152,1390845650,2,3,66,331,30602,142,602743,0,0,0,1391385600,1391558400,2,0,1,54308,4,0,1,2,50,884,7
23107204,1377966236,11,3,205,155,5314,1384,1030128,0,0,3,1380931200,1381190400,4,0,1,13237,4,0,1,2,50,365,76
