Config,G1_masked,G1_recon,Delta_G1,G2_masked,G2_recon,Delta_G2,G3_masked,G3_recon,Delta_G3,KL_masked,KL_recon,Delta_KL,MI_masked,MI_recon,Delta_MI,Chi2_masked,Chi2_recon,Delta_Chi2,TVD_masked,TVD_recon,Delta_TVD,Original_Accuracy,Masked_Accuracy,Accuracy_Difference,Time_Mask,Time_Construct,Time_Model
config01,0.2491146755555555,0.13230939555555554,0.11703643555555551,0.9993333333333333,0.6659999999999999,0.3333333333333333,0.5265333333333333,0.32613333333333333,0.20271111111111106,0.0,23.376226215483815,23.376226215483815,0.19807212391276466,0.19558337967402806,0.0025822423247262253,0.25880796848152426,0.2554708665930502,0.0033371018884741,0.0,0.8333333333333314,0.8333333333333314,0.8287,0.79,3.8667,0.5956144332885742,1.8546948432922363,4.302512884140015
config02,0.2127090133333333,0.05730583111111111,0.1561427555555555,0.9998666666666666,0.5553555555555555,0.44451111111111113,0.5092,0.24353333333333335,0.27059999999999995,0.0,23.376226215483815,23.376226215483815,0.2658508646503127,0.26801955560437,0.005007682311144876,0.3346441240287311,0.33917575652662707,0.008167567563976833,0.0,0.7777777777777756,0.7777777777777756,0.8287,0.812,1.6667,0.6080808639526367,1.7341411113739014,4.240224123001099
config03,0.28972695111111113,0.21165527555555555,0.07827494666666664,0.9993555555555554,0.7771333333333333,0.2222222222222222,0.5575777777777778,0.4242444444444444,0.1356444444444444,0.0,23.376226215483815,23.376226215483815,0.12664267945261576,0.12783282557801046,0.002818317240820204,0.1824286267415846,0.18735232084717252,0.006894019325322133,0.0,0.888888888888886,0.888888888888886,0.8287,0.642,18.6667,0.6434838771820068,2.046590805053711,4.231127977371216
config04,0.2558774,0.13936565777777776,0.11719256888888885,0.9997111111111112,0.6663111111111111,0.3334,0.5445333333333333,0.34328888888888887,0.20439999999999997,0.0,23.376226215483815,23.376226215483815,0.1719336440847444,0.1728609037099064,0.002975216759922251,0.24041438300412235,0.2402860216328693,0.006983347494811822,0.0,0.8333333333333308,0.8333333333333308,0.8287,0.73,9.8667,0.6174077987670898,1.9070138931274414,4.351702690124512
config05,0.23461512444444443,0.15697296,0.07830227111111109,0.9997333333333334,0.7774,0.22233333333333333,0.5299111111111111,0.3977777777777778,0.13675555555555552,0.0,23.376226215483815,23.376226215483815,0.206441613700869,0.2060896053252782,0.002392758980076293,0.25944025885462385,0.2579298946837161,0.005058663176365856,0.0,0.8888888888888868,0.8888888888888868,0.8287,0.782,4.6667,0.6583573818206787,2.1353635787963867,4.396680593490601
config06,0.2623584577777778,0.18407692888888888,0.07828285333333329,0.9993111111111111,0.7770888888888889,0.2222222222222222,0.5349777777777778,0.40097777777777777,0.13839999999999997,0.0,23.376226215483815,23.376226215483815,0.18551262965715737,0.18778988313844605,0.00289454433244491,0.26181082410261497,0.2634735881104969,0.008485775405917677,0.0,0.888888888888888,0.888888888888888,0.8287,0.7753,5.3333,0.6049954891204834,2.1112592220306396,4.237340211868286
config07,0.21904466666666667,0.10275856444444445,0.11737656444444439,0.9934222222222222,0.6587777777777778,0.33464444444444447,0.5075777777777778,0.3088222222222222,0.20346666666666663,0.0,23.376226215483815,23.376226215483815,0.2723462508853678,0.2712345233838112,0.002332903576215634,0.3327595730727675,0.329883081192301,0.003331936061674389,0.0,0.8333333333333308,0.8333333333333308,0.8287,0.7953,3.3333,0.5765957832336426,2.033571481704712,4.514798164367676
config08,0.2690835066666667,0.19156663111111114,0.07817230666666666,0.9992222222222222,0.7768888888888889,0.22233333333333333,0.5441111111111111,0.41237777777777773,0.1350222222222222,0.0,23.376226215483815,23.376226215483815,0.1485811174962509,0.1454205544996827,0.003160562999132882,0.20824217494198274,0.2034135688345218,0.0048286061074609005,0.0,0.8888888888888862,0.8888888888888862,0.8287,0.6893,13.9333,0.6240460872650146,2.1132068634033203,4.277402400970459
config09,0.2629468,0.18459713777777775,0.07861032888888886,0.9988888888888889,0.7766666666666666,0.2222222222222222,0.5601777777777778,0.4257333333333333,0.13875555555555552,0.0,23.376226215483815,23.376226215483815,0.12857774154301607,0.13028221215447758,0.004287906596724459,0.19741787054761417,0.20597041912231093,0.011594544721969557,0.0,0.8888888888888864,0.8888888888888864,0.8287,0.6547,17.4,0.6268081665039062,2.0820236206054688,4.36446475982666
config10,0.27682264,0.12072000444444446,0.1561026355555555,0.9998666666666666,0.5554222222222223,0.4444444444444444,0.5469333333333333,0.27695555555555557,0.2699777777777777,0.0,23.376226215483815,23.376226215483815,0.14192717318620893,0.14225664573821584,0.003242966501685042,0.1800486077814504,0.18099829596987588,0.00432683560448011,0.0,0.777777777777775,0.777777777777775,0.8287,0.6453,18.3333,0.6115710735321045,1.7373580932617188,4.2447569370269775
