Config,G1_masked,G1_recon,Delta_G1,G2_masked,G2_recon,Delta_G2,G3_masked,G3_recon,Delta_G3,KL_masked,KL_recon,Delta_KL,MI_masked,MI_recon,Delta_MI,Chi2_masked,Chi2_recon,Delta_Chi2,TVD_masked,TVD_recon,Delta_TVD,Original_Accuracy,Masked_Accuracy,Accuracy_Difference,Time_Mask,Time_Construct,Time_Model
config01,0.05795590041666667,0.013122964252296684,0.04696332756040502,0.9872,0.6666666666666657,0.34596666666667275,0.08275833333333334,0.05509132678545938,0.02777176452337521,0.0,12.413800246237473,12.413800247070805,0.0033900606028710993,0.0033488104650973988,4.125013945681497e-05,0.0046663462633062544,0.0045019327477645674,0.00016441351554169305,0.0,0.5368106141787337,0.5368106141787337,0.9223,0.922,0.0333,0.8149576187133789,3.564718246459961,2.2267091274261475
config02,0.06581676541666666,0.017673544873738557,0.05059302799130425,0.9391166666666666,0.458333333333333,0.6025499999999997,0.07945,0.03402560596025774,0.04607356514393193,0.0,17.3218946490743,17.3218946490743,0.021066795414340034,0.022669698400351074,0.0018826380944152457,0.046247379354303696,0.0005600415712785792,0.04568733778302511,0.0,0.5731770363646755,0.5731770363646755,0.9223,0.9223,0.0,0.7983777523040771,11.670002460479736,7.025740623474121
config03,0.05389209083333333,0.02054847014975564,0.03584243683904664,0.9401875,0.7499999999999982,0.30981250000000504,0.08005416666666666,0.06225162721859851,0.024154503421573843,0.0,13.697397662932099,13.697397662932099,0.020840079226513226,0.024342189470436565,0.004150814737392701,0.04359480908325544,0.004905005708074827,0.03868980337518061,0.0,0.6323582892788037,0.6323582892788037,0.9223,0.9213,0.1,0.8187899589538574,8.661349534988403,8.336445569992065
config04,0.05520272499999999,0.021598358341180086,0.03948461992919381,0.9182791666666666,0.5833333333333331,0.4983875000000002,0.07887083333333333,0.04477905035859201,0.03529694672917556,0.0,17.654030435222097,17.654030436055432,0.028049599084453026,0.027510809483360862,0.004024330680797101,0.059341020036981516,0.007177272239618317,0.05216374779736319,0.0,0.5919991155113,0.5919991155113,0.9223,0.9223,0.0,0.8433072566986084,13.040534734725952,7.6033008098602295
config05,0.055143018749999995,0.011566475299595176,0.04436655518489102,0.9056958333333333,0.625,0.4693041666666693,0.07670416666666667,0.04519222877952611,0.037488062112861535,0.0,14.497906042400038,14.497906042400038,0.036134613790085104,0.0418317334306141,0.005777021172448824,0.08249041848221528,0.0019109714500743305,0.08057944703214094,0.0,0.5738459748298569,0.5738459748298569,0.9223,0.922,0.0333,0.837134838104248,17.82072949409485,10.099010705947876
config06,0.05862633458333333,0.009148027531926214,0.04994732723864553,0.9794666666666667,0.4583333333333273,0.56220000000001,0.0826875,0.0379542094489717,0.04496670944898728,0.0,14.074611738531354,14.07461173936469,0.005450323545680297,0.004402790177528671,0.0010475333710369661,0.008049332957261141,0.005807166900244621,0.0022421660570165684,0.0,0.457503527567057,0.457503527567057,0.9223,0.9223,0.0,0.7839417457580566,3.129084587097168,2.6207785606384277
config07,0.04932335375,0.01989591532558435,0.035532136491964766,0.9451708333333334,0.6250000000000021,0.4298291666666687,0.07942500000000001,0.04861368834603458,0.03188790126540691,0.0,14.889310553073146,14.889310553073146,0.020906493627162546,0.022334054479892142,0.002097389567694232,0.04643537729625727,0.005277867286610397,0.04115751000964691,0.0,0.5398013694282521,0.5398013694282521,0.9223,0.9223,0.0,0.8078680038452148,11.983618259429932,8.73686170578003
config08,0.06239338458333334,0.013787644670318755,0.04989918577399425,0.9873416666666667,0.625000000000001,0.3876583333333344,0.08275833333333334,0.051864022809751574,0.031205689476420398,0.0,11.711501566943973,11.711501567777306,0.003131931600312688,0.003318597185409364,0.00018841851190708084,0.004306565286652648,0.0009853331518422496,0.003321232134810405,0.0,0.529801585103019,0.529801585103019,0.9223,0.9223,0.0,0.8054249286651611,2.73042893409729,1.8969626426696777
config09,0.053887145000000004,0.0136834469740365,0.04712289221439392,0.9978000000000001,0.5416666666666666,0.4605333333333333,0.0828,0.04526746395066996,0.03881672612975338,0.0,16.483451106973664,16.483451108640327,0.0015185985310054932,0.0009105831393043592,0.0006080153943460198,0.0020984641787305668,0.0007590301977352096,0.0013394339809953528,0.0,0.5783965423325313,0.5783965423325313,0.9223,0.9217,0.0667,0.8822710514068604,2.6698811054229736,1.5901846885681152
config10,0.04471493833333334,0.014383803269594176,0.03200184824375119,0.9038041666666666,0.7916666666666675,0.3045291666666738,0.078375,0.06400447677407202,0.021314086471664037,0.0,10.957098737962816,10.95709873879615,0.03395280486680779,0.03546820358760071,0.006098116918842446,0.0725110442406836,0.005122355689788295,0.06738868855089532,0.0,0.583327179407802,0.583327179407802,0.9223,0.9213,0.1,0.8672013282775879,13.268208265304565,11.623008251190186
